"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"SSR1P2","13",100131189,"signal sequence receptor, alpha pseudogene 2",""
"SSR2","1",6746,"signal sequence receptor, beta (translocon-associated protein beta)","Ssr2"
"SSR3","3",6747,"signal sequence receptor, gamma (translocon-associated protein gamma)","Ssr3"
"SSR4","X",6748,"signal sequence receptor, delta","Ssr4"
"SSR4P1","21",728039,"signal sequence receptor, delta pseudogene 1",""
"SSRP1","11",6749,"structure specific recognition protein 1","Ssrp1"
"SSSCA1","11",10534,"Sjogren syndrome/scleroderma autoantigen 1","Sssca1"
"SSSCA1-AS1","11",254100,"SSSCA1 antisense RNA 1 (head to head)",""
"SST","3",6750,"somatostatin","Sst"
"SSTR1","14",6751,"somatostatin receptor 1","Sstr1"
"SSTR2","17",6752,"somatostatin receptor 2","Sstr2"
"SSTR3","22",6753,"somatostatin receptor 3","Sstr3"
"SSTR4","20",6754,"somatostatin receptor 4","Sstr4"
"SSTR5","16",6755,"somatostatin receptor 5","Sstr5"
"SSTR5-AS1","16",146336,"SSTR5 antisense RNA 1",""
"SSU72","1",29101,"SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)","Ssu72"
"SSU72P1","X",286528,"SSU72 pseudogene 1",""
"SSU72P2","11",390031,"SSU72 pseudogene 2",""
"SSU72P3","11",143506,"SSU72 pseudogene 3",""
"SSU72P4","11",441584,"SSU72 pseudogene 4",""
"SSU72P5","11",196120,"SSU72 pseudogene 5",""
"SSU72P6","11",643263,"SSU72 pseudogene 6",""
"SSU72P7","11",390033,"SSU72 pseudogene 7",""
"SSU72P8","7",136157,"SSU72 pseudogene 8",""
"SSUH2","3",51066,"ssu-2 homolog (C. elegans)","Ssu2"
"SSX1","X",6756,"synovial sarcoma, X breakpoint 1",""
"SSX2","X",6757,"synovial sarcoma, X breakpoint 2",""
"SSX2B","X",727837,"synovial sarcoma, X breakpoint 2B",""
"SSX2IP","1",117178,"synovial sarcoma, X breakpoint 2 interacting protein","Ssx2ip"
"SSX3","X",10214,"synovial sarcoma, X breakpoint 3",""
"SSX4","X",6759,"synovial sarcoma, X breakpoint 4","Ssxb2"
"SSX4B","X",548313,"synovial sarcoma, X breakpoint 4B","Ssxb2"
"SSX5","X",6758,"synovial sarcoma, X breakpoint 5",""
"SSX6","X",280657,"synovial sarcoma, X breakpoint 6 (pseudogene)",""
"SSX7","X",280658,"synovial sarcoma, X breakpoint 7",""
"SSX8","X",280659,"synovial sarcoma, X breakpoint 8",""
"SSX9","X",280660,"synovial sarcoma, X breakpoint 9",""
"SSXP1","X",100996564,"SSX family pseudogene 1",""
"SSXP10","6",100287603,"SSX family pseudogene 10",""
"SSXP3","X",326341,"SSX family pseudogene 3",""
"SSXP4","X",326337,"SSX family pseudogene 4",""
"SSXP5","X",326339,"SSX family pseudogene 5",""
"SSXP6","X",326587,"SSX family pseudogene 6",""
"SSXP7","X",326590,"SSX family pseudogene 7",""
"SSXP8","X",326585,"SSX family pseudogene 8",""
"SSXP9","X",326586,"SSX family pseudogene 9",""
"ST13","22",6767,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)","St13"
"ST13P1","2",729992,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 1",""
"ST13P10","11",399950,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 10",""
"ST13P11","11",728162,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 11",""
"ST13P12","5",100127911,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 12",""
"ST13P13","10",401648,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 13",""
"ST13P14","3",100422602,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 14",""
"ST13P15","3",100422603,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 15",""
"ST13P16","6",100422605,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 16",""
"ST13P17","7",442730,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 17",""
"ST13P18","X",643310,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 18",""
"ST13P19","1",100131961,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 19",""
"ST13P2","2",344328,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 2",""
"ST13P20","1",729828,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 20",""
"ST13P21","1",642818,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 21",""
"ST13P22","12",100874521,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 22",""
"ST13P3","12",144638,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 3",""
"ST13P4","13",145165,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 4",""
"ST13P5","11",144106,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 5",""
"ST13P6","8",157530,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 6",""
"ST13P7","7",155019,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 7",""
"ST13P8","12",338805,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 8",""
"ST13P9","12",390301,"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 9",""
"ST14","11",6768,"suppression of tumorigenicity 14 (colon carcinoma)","St14"
"ST18","8",9705,"suppression of tumorigenicity 18, zinc finger","St18"
"ST20","15",400410,"suppressor of tumorigenicity 20",""
"ST20-AS1","15",283687,"ST20 antisense RNA 1",""
"ST20-MTHFS","15",100528021,"ST20-MTHFS readthrough",""
"ST3GAL1","8",6482,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1","St3gal1"
"ST3GAL1P1","4",100421804,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 pseudogene 1",""
"ST3GAL2","16",6483,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2","St3gal2"
"ST3GAL3","1",6487,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3","St3gal3"
"ST3GAL4","11",6484,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4","St3gal4"
"ST3GAL4-AS1","11",399972,"ST3GAL4 antisense RNA 1 (head to head)",""
"ST3GAL5","2",8869,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5","St3gal5"
"ST3GAL5-AS1","2",101928113,"ST3GAL5 antisense RNA 1 (head to head)",""
"ST3GAL5P1","5",100421795,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5 pseudogene 1",""
"ST3GAL6","3",10402,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6","St3gal6"
"ST3GAL6-AS1","3",100874207,"ST3GAL6 antisense RNA 1",""
"ST5","11",6764,"suppression of tumorigenicity 5","St5"
"ST6GAL1","3",6480,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 1","St6gal1"
"ST6GAL2","2",84620,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 2","St6gal2"
"ST6GALNAC1","17",55808,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1","St6galnac1"
"ST6GALNAC2","17",10610,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2","St6galnac2"
"ST6GALNAC2P1","2",100422716,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 pseudogene 1",""
"ST6GALNAC3","1",256435,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","St6galnac3"
"ST6GALNAC4","9",27090,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4","St6galnac4"
"ST6GALNAC4P1","13",100874524,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 pseudogene 1",""
"ST6GALNAC5","1",81849,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","St6galnac5"
"ST6GALNAC6","9",30815,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","St6galnac6"
"ST7","7",7982,"suppression of tumorigenicity 7","St7"
"ST7-AS1","7",93653,"ST7 antisense RNA 1",""
"ST7-AS2","7",93654,"ST7 antisense RNA 2",""
"ST7-OT3","7",93655,"ST7 overlapping transcript 3",""
"ST7-OT4","7",338069,"ST7 overlapping transcript 4",""
"ST7L","1",54879,"suppression of tumorigenicity 7 like","St7l"
"ST8SIA1","12",6489,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1","St8sia1"
"ST8SIA2","15",8128,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2","St8sia2"
"ST8SIA3","18",51046,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3","St8sia3"
"ST8SIA4","5",7903,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4","St8sia4"
"ST8SIA5","18",29906,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5","St8sia5"
"ST8SIA6","10",338596,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6","St8sia6"
"ST8SIA6-AS1","10",100128098,"ST8SIA6 antisense RNA 1",""
"STAB1","3",23166,"stabilin 1","Stab1"
"STAB2","12",55576,"stabilin 2","Stab2"
"STAC","3",6769,"SH3 and cysteine rich domain","Stac"
"STAC2","17",342667,"SH3 and cysteine rich domain 2","Stac2"
"STAC3","12",246329,"SH3 and cysteine rich domain 3","Stac3"
"STAG1","3",10274,"stromal antigen 1","Stag1"
"STAG2","X",10735,"stromal antigen 2","Stag2"
"STAG3","7",10734,"stromal antigen 3","Stag3"
"STAG3L1","7",54441,"stromal antigen 3-like 1 (pseudogene)",""
"STAG3L2","7",442582,"stromal antigen 3-like 2 (pseudogene)",""
"STAG3L3","7",442578,"stromal antigen 3-like 3 (pseudogene)",""
"STAG3L4","7",64940,"stromal antigen 3-like 4 (pseudogene)",""
"STAG3L5P","7",101735302,"stromal antigen 3-like 5 pseudogene",""
"STAG3L5P-PVRIG2P-PILRB","7",101752399,"STAG3L5P-PVRIG2P-PILRB readthrough",""
"STAM","10",8027,"signal transducing adaptor molecule (SH3 domain and ITAM motif) 1","Stam"
"STAM-AS1","10",102723166,"STAM antisense RNA 1 (head to head)",""
"STAM2","2",10254,"signal transducing adaptor molecule (SH3 domain and ITAM motif) 2","Stam2"
"STAMBP","2",10617,"STAM binding protein","Stambp"
"STAMBPL1","10",57559,"STAM binding protein-like 1","Stambpl1"
"STAP1","4",26228,"signal transducing adaptor family member 1","Stap1"
"STAP2","19",55620,"signal transducing adaptor family member 2","Stap2"
"STAR","8",6770,"steroidogenic acute regulatory protein","Star"
"STARD10","11",10809,"StAR-related lipid transfer (START) domain containing 10","Stard10"
"STARD13","13",90627,"StAR-related lipid transfer (START) domain containing 13","Stard13"
"STARD13-AS","13",100874241,"STARD13 antisense RNA",""
"STARD3","17",10948,"StAR-related lipid transfer (START) domain containing 3","Stard3"
"STARD3NL","7",83930,"STARD3 N-terminal like","Stard3nl"
"STARD4","5",134429,"StAR-related lipid transfer (START) domain containing 4","Stard4"
"STARD4-AS1","5",100505678,"STARD4 antisense RNA 1",""
"STARD5","15",80765,"StAR-related lipid transfer (START) domain containing 5","Stard5"
"STARD6","18",147323,"StAR-related lipid transfer (START) domain containing 6","Stard6"
"STARD7","2",56910,"StAR-related lipid transfer (START) domain containing 7","Stard7"
"STARD7-AS1","2",285033,"STARD7 antisense RNA 1",""
"STARD8","X",9754,"StAR-related lipid transfer (START) domain containing 8","Stard8"
"STARD9","15",57519,"StAR-related lipid transfer (START) domain containing 9","Stard9"
"STARP1","13",6771,"steroidogenic acute regulatory protein pseudogene 1",""
"STAT1","2",6772,"signal transducer and activator of transcription 1, 91kDa","Stat1"
"STAT2","12",6773,"signal transducer and activator of transcription 2, 113kDa","Stat2"
"STAT3","17",6774,"signal transducer and activator of transcription 3 (acute-phase response factor)","Stat3"
"STAT4","2",6775,"signal transducer and activator of transcription 4","Stat4"
"STAT5A","17",6776,"signal transducer and activator of transcription 5A","Stat5a"
"STAT5B","17",6777,"signal transducer and activator of transcription 5B","Stat5b"
"STAT6","12",6778,"signal transducer and activator of transcription 6, interleukin-4 induced","Stat6"
"STATH","4",6779,"statherin",""
"STAU1","20",6780,"staufen double-stranded RNA binding protein 1","Stau1"
"STAU2","8",27067,"staufen double-stranded RNA binding protein 2","Stau2"
"STAU2-AS1","8",100128126,"STAU2 antisense RNA 1",""
"STBD1","4",8987,"starch binding domain 1","Stbd1"
"STC1","8",6781,"stanniocalcin 1","Stc1"
"STC2","5",8614,"stanniocalcin 2","Stc2"
"STEAP1","7",26872,"six transmembrane epithelial antigen of the prostate 1","Steap1"
"STEAP1B","7",256227,"STEAP family member 1B",""
"STEAP2","7",261729,"STEAP family member 2, metalloreductase","Steap2"
"STEAP2-AS1","7",100874100,"STEAP2 antisense RNA 1",""
"STEAP3","2",55240,"STEAP family member 3, metalloreductase","Steap3"
"STEAP3-AS1","2",100874111,"STEAP3 antisense RNA 1",""
"STEAP4","7",79689,"STEAP family member 4","Steap4"
"STH","17",246744,"saitohin",""
"STIL","1",6491,"SCL/TAL1 interrupting locus","Stil"
"STIM1","11",6786,"stromal interaction molecule 1","Stim1"
"STIM2","4",57620,"stromal interaction molecule 2","Stim2"
"STIP1","11",10963,"stress-induced phosphoprotein 1","Stip1"
"STIP1P1","2",100420434,"stress-induced phosphoprotein 1 pseudogene 1",""
"STIP1P2","2",100420436,"stress-induced phosphoprotein 1 pseudogene 2",""
"STIP1P3","X",441505,"stress-induced phosphoprotein 1 pseudogene 3",""
"STK10","5",6793,"serine/threonine kinase 10","Stk10"
"STK11","19",6794,"serine/threonine kinase 11","Stk11"
"STK11IP","2",114790,"serine/threonine kinase 11 interacting protein","Stk11ip"
"STK16","2",8576,"serine/threonine kinase 16","Stk16"
"STK16P1","14",326107,"serine/threonine kinase 16 pseudogene 1",""
"STK17A","7",9263,"serine/threonine kinase 17a",""
"STK17B","2",9262,"serine/threonine kinase 17b","Stk17b"
"STK19","6",8859,"serine/threonine kinase 19","Stk19"
"STK19B","6",373159,"serine/threonine kinase 19B, pseudogene",""
"STK24","13",8428,"serine/threonine kinase 24","Stk24"
"STK24-AS1","13",100874069,"STK24 antisense RNA 1",""
"STK24P1","X",100421784,"serine/threonine kinase 24 pseudogene 1",""
"STK25","2",10494,"serine/threonine kinase 25","Stk25"
"STK25P1","18",100533662,"serine/threonine kinase 25 pseudogene 1",""
"STK26","X",51765,"serine/threonine protein kinase 26",""
"STK3","8",6788,"serine/threonine kinase 3","Stk3"
"STK31","7",56164,"serine/threonine kinase 31","Stk31"
"STK32A","5",202374,"serine/threonine kinase 32A","Stk32a"
"STK32B","4",55351,"serine/threonine kinase 32B","Stk32b"
"STK32C","10",282974,"serine/threonine kinase 32C","Stk32c"
"STK33","11",65975,"serine/threonine kinase 33","Stk33"
"STK33P1","9",553118,"serine/threonine kinase 33 pseudogene 1",""
"STK35","20",140901,"serine/threonine kinase 35","Stk35"
"STK36","2",27148,"serine/threonine kinase 36","Stk36"
"STK38","6",11329,"serine/threonine kinase 38","Stk38"
"STK38L","12",23012,"serine/threonine kinase 38 like","Stk38l"
"STK39","2",27347,"serine threonine kinase 39","Stk39"
"STK4","20",6789,"serine/threonine kinase 4","Stk4"
"STK4-AS1","20",100505826,"STK4 antisense RNA 1 (head to head)",""
"STK40","1",83931,"serine/threonine kinase 40","Stk40"
"STKLD1","9",169436,"serine/threonine kinase-like domain containing 1",""
"STMN1","1",3925,"stathmin 1","Stmn1"
"STMN1P1","12",100506685,"stathmin 1 pseudogene 1",""
"STMN1P2","4",100289663,"stathmin 1 pseudogene 2",""
"STMN2","8",11075,"stathmin 2","Stmn2"
"STMN3","20",50861,"stathmin-like 3","Stmn3"
"STMN4","8",81551,"stathmin-like 4","Stmn4"
"STMND1","6",401236,"stathmin domain containing 1","Stmnd1"
"STOM","9",2040,"stomatin","Stom"
"STOML1","15",9399,"stomatin (EPB72)-like 1","Stoml1"
"STOML2","9",30968,"stomatin (EPB72)-like 2","Stoml2"
"STOML3","13",161003,"stomatin (EPB72)-like 3","Stoml3"
"STON1","2",11037,"stonin 1","Ston1"
"STON1-GTF2A1L","2",286749,"STON1-GTF2A1L readthrough",""
"STON2","14",85439,"stonin 2","Ston2"
"STOX1","10",219736,"storkhead box 1","Stox1"
"STOX2","4",56977,"storkhead box 2","Stox2"
"STPG1","1",90529,"sperm-tail PG-rich repeat containing 1","Stpg1"
"STPG2","4",285555,"sperm-tail PG-rich repeat containing 2","Stpg2"
"STPG2-AS1","4",101410545,"STPG2 antisense RNA 1",""
"STRA13","17",201254,"stimulated by retinoic acid 13","Stra13"
"STRA6","15",64220,"stimulated by retinoic acid 6","Stra6"
"STRA8","7",346673,"stimulated by retinoic acid 8","Stra8"
"STRADA","17",92335,"STE20-related kinase adaptor alpha","Strada"
"STRADB","2",55437,"STE20-related kinase adaptor beta","Stradb"
"STRADBP1","7",389599,"STE20-related kinase adaptor beta pseudogene 1",""
"STRAP","12",11171,"serine/threonine kinase receptor associated protein","Strap"
"STRBP","9",55342,"spermatid perinuclear RNA binding protein","Strbp"
"STRC","15",161497,"stereocilin","Strc"
"STRCP1","15",554225,"stereocilin pseudogene 1",""
"STRIP1","1",85369,"striatin interacting protein 1","Strip1"
"STRIP2","7",57464,"striatin interacting protein 2","Strip2"
"STRN","2",6801,"striatin, calmodulin binding protein","Strn"
"STRN3","14",29966,"striatin, calmodulin binding protein 3","Strn3"
"STRN4","19",29888,"striatin, calmodulin binding protein 4","Strn4"
"STS","X",412,"steroid sulfatase (microsomal), isozyme S",""
"STSP1","Y",6803,"steroid sulfatase (microsomal) pseudogene 1",""
"STT3A","11",3703,"STT3A, subunit of the oligosaccharyltransferase complex (catalytic)","Stt3a"
"STT3B","3",201595,"STT3B, subunit of the oligosaccharyltransferase complex (catalytic)","Stt3b"
"STUB1","16",10273,"STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase","Stub1"
"STX10","19",8677,"syntaxin 10",""
"STX11","6",8676,"syntaxin 11","Stx11"
"STX12","1",23673,"syntaxin 12","Stx12"
"STX16","20",8675,"syntaxin 16","Stx16"
"STX16-NPEPL1","20",100534593,"STX16-NPEPL1 readthrough (NMD candidate)",""
"STX17","9",55014,"syntaxin 17","Stx17"
"STX17-AS1","9",441461,"STX17 antisense RNA 1",""
"STX18","4",53407,"syntaxin 18","Stx18"
"STX18-AS1","4",100507266,"STX18 antisense RNA 1 (head to head)",""
"STX18-IT1","4",104472519,"STX18 intronic transcript 1 (non-protein coding)",""
"STX18P1","17",100418889,"syntaxin 18 pseudogene 1",""
"STX19","3",415117,"syntaxin 19","Stx19"
"STX1A","7",6804,"syntaxin 1A (brain)","Stx1a"
"STX1B","16",112755,"syntaxin 1B","Stx1b"
"STX2","12",2054,"syntaxin 2","Stx2"
"STX3","11",6809,"syntaxin 3","Stx3"
"STX4","16",6810,"syntaxin 4","Stx4a"
"STX5","11",6811,"syntaxin 5","Stx5a"
"STX6","1",10228,"syntaxin 6","Stx6"
"STX7","6",8417,"syntaxin 7","Stx7"
"STX8","17",9482,"syntaxin 8","Stx8"
"STX8P1","12",100423046,"syntaxin 8 pseudogene 1",""
"STXBP1","9",6812,"syntaxin binding protein 1","Stxbp1"
"STXBP2","19",6813,"syntaxin binding protein 2","Stxbp2"
"STXBP3","1",6814,"syntaxin binding protein 3","Stxbp3a"
"STXBP4","17",252983,"syntaxin binding protein 4","Stxbp4"
"STXBP5","6",134957,"syntaxin binding protein 5 (tomosyn)","Stxbp5"
"STXBP5-AS1","6",729178,"STXBP5 antisense RNA 1",""
"STXBP5L","3",9515,"syntaxin binding protein 5-like","Stxbp5l"
"STXBP6","14",29091,"syntaxin binding protein 6 (amisyn)","Stxbp6"
"STYK1","12",55359,"serine/threonine/tyrosine kinase 1","Styk1"
"STYX","14",6815,"serine/threonine/tyrosine interacting protein","Styx"
"STYXL1","7",51657,"serine/threonine/tyrosine interacting-like 1","Styxl1"
"SUB1","5",10923,"SUB1 homolog (S. cerevisiae)","Sub1"
"SUB1P1","8",728938,"SUB1 pseudogene 1",""
"SUB1P2","14",100287680,"SUB1 pseudogene 2",""
"SUB1P4","16",100288661,"SUB1 pseudogene 4",""
"SUCLA2","13",8803,"succinate-CoA ligase, ADP-forming, beta subunit","Sucla2"
"SUCLA2-AS1","13",101929410,"SUCLA2 antisense RNA 1",""
"SUCLA2P1","6",646520,"succinate-CoA ligase, ADP-forming, beta subunit pseudogene 1",""
"SUCLA2P2","2",100129863,"succinate-CoA ligase, ADP-forming, beta subunit pseudogene 2",""
"SUCLA2P3","2",100421648,"succinate-CoA ligase, ADP-forming, beta subunit pseudogene 3",""
"SUCLG1","2",8802,"succinate-CoA ligase, alpha subunit","Suclg1"
"SUCLG2","3",8801,"succinate-CoA ligase, GDP-forming, beta subunit","Suclg2"
"SUCLG2-AS1","3",101927111,"SUCLG2 antisense RNA 1 (head to head)",""
"SUCLG2P1","3",100421671,"succinate-CoA ligase, GDP-forming, beta subunit pseudogene 1",""
"SUCLG2P2","12",283398,"succinate-CoA ligase, GDP-forming, beta subunit pseudogene 2",""
"SUCLG2P3","11",100421712,"succinate-CoA ligase, GDP-forming, beta subunit pseudogene 3",""
"SUCLG2P4","5",100130528,"succinate-CoA ligase, GDP-forming, beta subunit pseudogene 4",""
"SUCNR1","3",56670,"succinate receptor 1","Sucnr1"
"SUCO","1",51430,"SUN domain containing ossification factor","Suco"
"SUDS3","12",64426,"suppressor of defective silencing 3 homolog (S. cerevisiae)","Suds3"
"SUDS3P1","5",285647,"SUDS3 pseudogene 1",""
"SUFU","10",51684,"suppressor of fused homolog (Drosophila)","Sufu"
"SUGCT","7",79783,"succinyl-CoA:glutarate-CoA transferase","Sugct"
"SUGP1","19",57794,"SURP and G patch domain containing 1","Sugp1"
"SUGP2","19",10147,"SURP and G patch domain containing 2","Sugp2"
"SUGT1","13",10910,"SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)","Sugt1"
"SUGT1P1","9",441394,"SUGT1 pseudogene 1",""
"SUGT1P2","3",728706,"SUGT1 pseudogene 2",""
"SUGT1P3","13",283507,"SUGT1 pseudogene 3",""
"SULF1","8",23213,"sulfatase 1","Sulf1"
"SULF2","20",55959,"sulfatase 2","Sulf2"
"SULT1A1","16",6817,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1",""
"SULT1A2","16",6799,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2",""
"SULT1A3","16",6818,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3",""
"SULT1A4","16",445329,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4",""
"SULT1B1","4",27284,"sulfotransferase family, cytosolic, 1B, member 1","Sult1b1"
"SULT1C2","2",6819,"sulfotransferase family, cytosolic, 1C, member 2","Sult1c2"
"SULT1C2P1","2",151234,"sulfotransferase family, cytosolic, 1C, member 2 pseudogene 1",""
"SULT1C3","2",442038,"sulfotransferase family, cytosolic, 1C, member 3","Sult1c1"
"SULT1C4","2",27233,"sulfotransferase family, cytosolic, 1C, member 4",""
"SULT1D1P","4",133150,"sulfotransferase family, cytosolic, 1D, member 1, pseudogene",""
"SULT1E1","4",6783,"sulfotransferase family 1E, estrogen-preferring, member 1","Sult1e1"
"SULT2A1","19",6822,"sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1","Sult2a1;Sult2a3;Sult2a4;Sult2a5;Sult2a6"
"SULT2B1","19",6820,"sulfotransferase family, cytosolic, 2B, member 1","Sult2b1"
"SULT4A1","22",25830,"sulfotransferase family 4A, member 1","Sult4a1"
"SULT6B1","2",391365,"sulfotransferase family, cytosolic, 6B, member 1","Sult6b1"
"SUMF1","3",285362,"sulfatase modifying factor 1","Sumf1"
"SUMF2","7",25870,"sulfatase modifying factor 2","Sumf2"
"SUMO1","2",7341,"small ubiquitin-like modifier 1","Sumo1"
"SUMO1P1","20",391257,"SUMO1 pseudogene 1",""
"SUMO1P2","1",474337,"SUMO1 pseudogene 2",""
"SUMO1P3","1",474338,"SUMO1 pseudogene 3 (functional)",""
"SUMO1P4","19",101290502,"SUMO1 pseudogene 4",""
"SUMO1P5","5",474341,"SUMO1 pseudogene 5",""
"SUMO2","17",6613,"small ubiquitin-like modifier 2","Sumo2"
"SUMO2P1","6",285829,"SUMO2 pseudogene 1",""
"SUMO2P11","4",100422250,"SUMO2 pseudogene 11",""
"SUMO2P17","17",100128010,"SUMO2 pseudogene 17",""
"SUMO2P19","8",100422265,"SUMO2 pseudogene 19",""
"SUMO2P2","9",100859924,"SUMO2 pseudogene 2",""
"SUMO2P20","8",101927327,"101927327",""
"SUMO2P3","7",652489,"SUMO2 pseudogene 3",""
"SUMO2P4","5",100288757,"SUMO2 pseudogene 4",""
"SUMO2P5","5",100526738,"SUMO2 pseudogene 5",""
"SUMO2P6","5",100127922,"SUMO2 pseudogene 6",""
"SUMO2P7","17",100131823,"SUMO2 pseudogene 7",""
"SUMO2P8","6",100506244,"SUMO2 pseudogene 8",""
"SUMO3","21",6612,"small ubiquitin-like modifier 3","Sumo3"
"SUMO4","6",387082,"small ubiquitin-like modifier 4",""
"SUN1","7",23353,"Sad1 and UNC84 domain containing 1","Sun1"
"SUN2","22",25777,"Sad1 and UNC84 domain containing 2","Sun2"
"SUN3","7",256979,"Sad1 and UNC84 domain containing 3","Sun3"
"SUN5","20",140732,"Sad1 and UNC84 domain containing 5","Sun5"
"SUOX","12",6821,"sulfite oxidase","Suox"
"SUPT16H","14",11198,"suppressor of Ty 16 homolog (S. cerevisiae)","Supt16"
"SUPT16HP1","12",400011,"suppressor of Ty 16 homolog (S. cerevisiae) pseudogene 1",""
"SUPT20H","13",55578,"suppressor of Ty 20 homolog (S. cerevisiae)",""
"SUPT20HL1","X",100130302,"suppressor of Ty 20 homolog (S. cerevisiae)-like 1",""
"SUPT20HL2","X",170067,"suppressor of Ty 20 homolog (S. cerevisiae)-like 2",""
"SUPT3H","6",8464,"suppressor of Ty 3 homolog (S. cerevisiae)","Supt3"
"SUPT4H1","17",6827,"suppressor of Ty 4 homolog 1 (S. cerevisiae)","Supt4a"
"SUPT4H1P","2",100190947,"SUPT4H1 pseudogene",""
"SUPT5H","19",6829,"suppressor of Ty 5 homolog (S. cerevisiae)","Supt5"
"SUPT6H","17",6830,"suppressor of Ty 6 homolog (S. cerevisiae)","Supt6"
"SUPT7L","2",9913,"suppressor of Ty 7 (S. cerevisiae)-like","Supt7l"
"SUPV3L1","10",6832,"suppressor of var1, 3-like 1 (S. cerevisiae)","Supv3l1"
"SURF1","9",6834,"surfeit 1","Surf1"
"SURF2","9",6835,"surfeit 2","Surf2"
